Term,Category
arithmetic coding,IT
arithmetic logic unit,IT
ARP,IT
array,IT
ARRAY_AGG,IT
artifact repository,IT
artificial intelligence,IT
as-built documentation,Architecture
as-built drawing,Architecture
as-built network,Architecture
as-built survey,Architecture
ASCII,IT
ASLR bypass,IT
ASN.1,IT
asphalt paver,Architecture
asphalt shingle,Architecture
assembly drawing,Architecture
asset management,IT
asymmetric encryption,IT
asynchronous,IT
asynchronous I/O,IT
asynchronous replication,IT
at-least-once semantics,IT
at-most-once semantics,IT
at-rest pressure,Architecture
ATM,IT
atomic broadcast,IT
atomic multicast,IT
atomic operation,IT
atomicity,IT
attack surface,IT
attention mechanism,IT
Atterberg limits,Architecture
attribute,IT
attribute-based access control,IT
audit trail,IT
auditing,IT
authenticated encryption,IT
authenticated key exchange,IT
authentication,IT
authorization,IT
auto scaling,IT
autoencoder,IT
automatic level,Architecture
automation,IT
availability,IT
availability management,IT
availability measurement,IT
availability target,IT
availability zone,IT
average precision,IT
AVG,IT
AVL tree,IT
Avro,IT
awk,IT
ax,IT
axonometric drawing,Architecture
azimuth,Architecture
Azuma inequality,IT
Azuma–Hoeffding inequality,IT
B* tree,IT
B+ tree,IT
B-spline,IT
B-tree,IT
B-tree index,IT
backend,IT
backer board,Architecture
backer rod,Architecture
backfill,Architecture
backhoe loader,Architecture
backpressure,IT
backpressure (systems),IT
backpropagation,IT
backsight,Architecture
backtracking,IT
backup,IT
backward chaining,IT
BACnet,IT
Bad Gateway,IT
Bad Request,IT
baggage,IT
balanced scorecard,IT
balancing traverse,Architecture
Ball tree,IT
ball valve,Architecture
ballooning,IT
balustrade,Architecture
bandwidth,IT
bank conflict,IT
banker’s algorithm,IT
banker’s method,IT
bar chair,Architecture
barricade,Architecture
barrier,IT
bars,Architecture
basalt fiber,Architecture
BASE,IT
base plate,Architecture
baseboard,Architecture
baseline,Both
baseline management,IT
baseline program,Architecture
basement beam,Architecture
basement slab,Architecture
basement wall,Architecture
Bash,IT
batch verification,IT
batching,Architecture
batter board,Architecture
battery bank,Architecture
Bayes theorem,IT
Bazel,IT
bcrypt,IT
beam,Architecture
beam detail,Architecture
beam layout,Architecture
beam schedule,Architecture
beams,Architecture
bearing,Architecture
bearing capacity,Architecture
bearing pad,Architecture
bedrock,Architecture
behavior-driven development,IT
behavioral analytics,IT
Bellman equation,IT
Bellman–Ford algorithm,IT
Bell–LaPadula model,IT
bench grinder,Architecture
benchmark,Architecture
benchmarking,IT
benchmarks,Architecture
benefits realization,IT
bent bar,Architecture
BER encoding,IT
Berkeley algorithm,IT
BETWEEN,IT
BFD,IT
BFS,IT
bg,IT
BGP,IT
bias–variance tradeoff,IT
Biba model,IT
Big Endian,IT
Big-O notation,IT
bigint,IT
bigserial,IT
bill of quantities,Architecture
binary,IT
binary heap,IT
binary operation,IT
binary search,IT
binary transparency,IT
bind,IT
binomial heap,IT
biometric authentication,IT
BIOS,IT
bipartite matching,IT
bit mask,IT
BIT_LENGTH,IT
bitmap index,IT
bituminous membrane,Architecture
bitwise,IT
BK-tree index,IT
blacklisting,IT
BLAKE2,IT
BLAKE3,IT
blameless postmortem,IT
bleeding,Architecture
blended cement,Architecture
block,Architecture
block attribute,Architecture
block cipher,IT
blockwork beam,Architecture
blockwork column,Architecture
blockwork connection,Architecture
blockwork core,Architecture
blockwork footing,Architecture
blockwork foundation,Architecture
blockwork frame,Architecture
blockwork girder,Architecture
blockwork joint,Architecture
blockwork pile,Architecture
blockwork slab,Architecture
blockwork stair,Architecture
blockwork truss,Architecture
blockwork wall,Architecture
Bloom filter,IT
blue team,IT
blue teaming,IT
blue-green deployment,IT
blueprint,Architecture
Bluetooth,IT
blue–green deployment,IT
BM25,IT
BMS,Architecture
BNF,IT
bolted connection,Architecture
Boneh–Franklin IBE,IT
boolean,IT
boom pump,Architecture
booster pump,Architecture
boot sequence,IT
bootkit,IT
border,Architecture
bored pile,Architecture
borehole,Architecture
boreholes,Architecture
borelog,Architecture
borelogs,Architecture
botnet,IT
bottle jack,Architecture
boulder,Architecture
boundary element,Architecture
boundary value analysis,IT
bounded context,IT
bounded model checking,IT
bounded staleness,IT
box,IT
Boyce–Codd normal form,IT
Boyer–Moore,IT
BPMN,IT
BPMN collaboration diagram,IT
BPP,IT
braced frame,Architecture
bracing,Architecture
bracing system,Architecture
bracket,Architecture
branch and bound,IT
branch coverage,IT
branch prediction,IT
branch predictor,IT
breadth-first search,IT
break line,Architecture
breakpoint,IT
brick,Architecture
brick trowel,Architecture
brickwork beam,Architecture
brickwork column,Architecture
brickwork connection,Architecture
brickwork core,Architecture
brickwork footing,Architecture
brickwork foundation,Architecture
brickwork frame,Architecture
brickwork girder,Architecture
brickwork joint,Architecture
brickwork pile,Architecture
brickwork slab,Architecture
brickwork stair,Architecture
brickwork truss,Architecture
brickwork wall,Architecture
bridge deck,Architecture
bridge pattern,IT
BRIN,IT
BRIN index,IT
brittleness,Architecture
brk,IT
broadcast,IT
broom finish,Architecture
brownout (systems),IT
brute force attack,IT
Btrfs,IT
bubble sort,IT
Buck,IT
buckling,Architecture
buffer overflow,IT
build pipeline,IT
builder pattern,IT
building automation,Architecture
building corner stake,Architecture
bulk density,Architecture
bulkhead isolation,IT
bull float,Architecture
bulldozer,Architecture
Bulletproofs,IT
buoyancy,Architecture
burn rate,IT
Burrows–Wheeler transform,IT
bus arbitration,IT
bus topology,IT
busbar,Architecture
business case,IT
business continuity plan,IT
business glossary,IT
business intelligence,IT
business model canvas,IT
business process modeling,IT
butterfly valve,Architecture
bytea,IT
bytecode,IT
Byzantine adversary,IT
Byzantine agreement,IT
Byzantine fault tolerance,IT
bzip2,IT
Bézier curve,IT
C,IT
C#,IT
C++,IT
C++11,IT
C++14,IT
C++17,IT
C++20,IT
C++23,IT
C11,IT
C17,IT
C2 beaconing,IT
C23,IT
C99,IT
cable tray,Architecture
cache coherence,IT
cache hierarchy,IT
cache hit,IT
cache line,IT
cache line alignment,IT
cache miss,IT
Cache-Control,IT
CAD layer,Architecture
cadastral network,Architecture
cadastral survey,Architecture
callback,IT
callback channel,IT
camber,Architecture
camera view,Architecture
canary release,IT
candidate key,IT
cantilever beam,Architecture
cantilever wall,Architecture
CAP theorem,IT
capability,IT
capability map,IT
capability model,IT
capacity management,IT
capacity planning,IT
cardinality,IT
cardinality estimation,IT
Cargo,IT
carpet roll,Architecture
carpet tile,Architecture
Cartesian tree,IT
CASE,IT
CAST,IT
cat,IT
catalog,IT
category theory (in programming),IT
caulk,Architecture
causal consistency,IT
causal consistency model,IT
causal ordering,IT
CBOR,IT
cd,IT
CEGAR,IT
CEIL,IT
ceiling layout,Architecture
ceiling tile,Architecture
cement,Architecture
cement board,Architecture
cementitious waterproofing,Architecture
center of excellence,IT
centerline,Architecture
centerline stake,Architecture
Ceph,IT
ceramic tile,Architecture
certificate authority,IT
certificate pinning,IT
certificate revocation list,IT
certificate transparency,IT
cgroup,IT
ChaCha20,IT
chain of custody,IT
chain of responsibility,IT
chain surveying,Architecture
chalk line,Architecture
chamfer,Architecture
change control,IT
change data capture,IT
change enablement,IT
change management,IT
change order,Architecture
channel coding theorem,IT
chaos engineering (concept),IT
chaos experiment,IT
char,IT
CHAR_LENGTH,IT
characteristic function,IT
CHECK,IT
check line,Architecture
check valve,Architecture
checkpoint,IT
checksum,IT
chemical admixture,Architecture
Chernoff bound,IT
chiller,Architecture
Chinese wall policy,IT
chmod,IT
Chord,IT
chown,IT
chroot,IT
chute,Architecture
CIDR,IT
cipher block chaining,IT
cipher mode,IT
circle,IT
circuit breaker,Both
circuit breaker pattern,IT
circular buffer,IT
circular saw,Architecture
circulation pump,Architecture
CIS benchmark,IT
CIS Controls,IT
cladding,Architecture
claims-based identity,IT
clamp,Architecture
Clark–Wilson model,IT
class,IT
class diagram,IT
clay,Architecture
clay brick,Architecture
clay tile,Architecture
clean architecture,IT
clear cover,Architecture
clerk of works,Architecture
clickjacking,IT
client,Architecture
clock algorithm,IT
clock drift,IT
clock skew,IT
clock_gettime,IT
Clojure,IT
clone,IT
close,IT
closed traverse,Architecture
closure,IT
cloud computing,IT
cluster autoscaler,IT
cluster node,IT
clustered index,IT
CMake,IT
co-NP,IT
COALESCE,IT
coarse aggregate,Architecture
coarse-grained soil,Architecture
cobbles,Architecture
COBIT,IT
COBOL,IT
code churn,IT
code coverage,IT
code coverage analysis,IT
code coverage criterion,IT
code injection,IT
code review,IT
code signing,IT
code smell,IT
cohesion,Both
cold data,IT
cold joint,Architecture
cold water,Architecture
collaboration platform,IT
colluvium,Architecture
colored concrete,Architecture
column,Architecture
column detail,Architecture
column grid,Architecture
column layout,Architecture
column schedule,Architecture
column-level encryption,IT
columnar storage,IT
columns,Architecture
combinational logic,IT
combinatorial testing,IT
combinatorics,IT
combined footing,Architecture
command and control,IT
command and control server,IT
command injection,IT
command interpreter,IT
command pattern,IT
command query responsibility segregation,IT
commissioning,Architecture
COMMIT,IT
commitment scheme,IT
commitment scheme binding,IT
commitment scheme hiding,IT
commit–reveal scheme,IT
Common Lisp,IT
common subexpression elimination,IT
common table expression,IT
communication complexity,IT
communication diagram,IT
communication plan,IT
compacting collector,IT
compaction,Both
compactor,Architecture
compare-and-swap,IT
compensating control,IT
compensation transaction,IT
competitive analysis,IT
competitive ratio,IT
compiler,IT
compiler construction,IT
compilers,IT
component diagram,IT
composite index,IT
composite key,IT
composite pattern,IT
composition,IT
compression ratio,IT
compressive strength,Architecture
compressor,Architecture
computability theory,IT
computation model,IT
computational complexity,IT
computer architecture,IT
computer graphics,IT
computer networks,IT
computer vision,IT
CONCAT,IT
concern,IT
concolic testing,IT
concrete,Architecture
concrete backfilling,Architecture
concrete batching plant,Architecture
concrete beam,Architecture
concrete block,Architecture
concrete column,Architecture
concrete compacting,Architecture
concrete connection,Architecture
concrete core,Architecture
concrete curing,Architecture
concrete footing,Architecture
concrete foundation,Architecture
concrete frame,Architecture
concrete girder,Architecture
concrete joint,Architecture
concrete mixer,Architecture
concrete pile,Architecture
concrete placing,Architecture
concrete pouring,Architecture
concrete pump,Architecture
concrete slab,Architecture
concrete stair,Architecture
concrete stripping,Architecture
concrete tile,Architecture
concrete truss,Architecture
concrete vibrator,Architecture
concrete wall,Architecture
concurrency,IT
concurrency control,IT
concurrent GC,IT
condensate drain,Architecture
condenser,Architecture
condition coverage,IT
condition number,IT
condition variable,IT
conduit,Architecture
cone penetration test,Architecture
confidentiality,IT
config map,IT
configuration as code,IT
configuration item,IT
configuration management,IT
configuration management database,IT
configuration management plan,IT
Conflict,IT
conflict resolution,IT
conflict serializability,IT
conflict-free replicated data type,IT
congestion avoidance,IT
congestion control,IT
connect,IT
connection,Both
connection detail,Architecture
connection layout,Architecture
connection schedule,Architecture
connections,Architecture
consensus,IT
consensus protocol,IT
consistency,IT
consistent hashing,IT
consistent hashing ring,IT
consolidation,Architecture
constant,IT
constant air volume,Architecture
constant folding,IT
constant propagation,IT
CONSTRAINT,IT
construction joint,Architecture
construction line,Architecture
construction manager,Architecture
construction network,Architecture
construction site,Architecture
construction survey,Architecture
"Construction Vocabulary – Drafting, Concrete, Surveying (2000 terms)",Architecture
constructor,IT
Consul,IT
consultant,Architecture
container,IT
containerization,IT
containment,IT
content delivery network,IT
content management system,IT
Content-Disposition,IT
Content-Encoding,IT
Content-Language,IT
Content-Length,IT
Content-Location,IT
Content-Range,IT
Content-Security-Policy,IT
Content-Type,IT
context diagram,IT
context propagation,IT
context switch,IT
context switching,IT
context-free grammar,IT
contingency plan,IT
Continue,IT
continuous beam,Architecture
continuous delivery,IT
continuous deployment,IT
continuous integration,IT
contour,Architecture
contour interval,Architecture
contour map,Architecture
contours,Architecture
contractor,Architecture
control flow,IT
control flow graph,IT
control hazard,IT
control joint,Architecture
control network,Architecture
control panel,Architecture
control point,Architecture
control survey,Architecture
controls point,Architecture
convolution,IT
convolutional neural network,IT
Cookie,IT
cooling tower,Architecture
cooperative scheduling,IT
coordinate point,Architecture
coordinate system,Architecture
coordinated vulnerability disclosure,IT
coordinator,IT
copper pipe,Architecture
copy-on-write,IT
copy-on-write fork,IT
copying collector,IT
corbel,Architecture
core drill,Architecture
core test,Architecture
core wall,Architecture
cornice,Architecture
coroutine,IT
corrective maintenance,Architecture
correlation,IT
cosine similarity,IT
COSO framework,IT
cost-based optimizer,IT
cost–benefit analysis,IT
COUNT,IT
count-min sketch,IT
counter mode,IT
counterexample-guided abstraction refinement,IT
counterfort wall,Architecture
counting sort,IT
count–min sketch,IT
coupling,Both
covariance,IT
cover sheet,Architecture
cover tree,IT
covering index,IT
coving,Architecture
cp,IT
CPT,Architecture
CPU cycle,IT
CPVC pipe,Architecture
CQRS,IT
Cramer–Shoup cryptosystem,IT
cranes,Architecture
crash fault,IT
crawler crane,Architecture
crazing,Architecture
CRDT,IT
CREATE,IT
Created,IT
credential stuffing,IT
creep,Architecture
crisis management,IT
Cristian’s algorithm,IT
critical path,Architecture
critical path method,IT
critical section,IT
cross bracing,Architecture
cross section,Architecture
cross-sectioning,Architecture
cross-site request forgery,IT
cross-site scripting,IT
cross-validation,IT
crowbar,Architecture
cryptography,IT
cryptojacking,IT
CSP (process algebra),IT
CSPRNG,IT
CSS3,IT
CSV,IT
CTL,IT
cube test,Architecture
cuckoo filter,IT
cuckoo hashing,IT
curing,Architecture
curl,IT
current state,IT
CURRENT_DATE,IT
CURRENT_TIME,IT
CURRENT_TIMESTAMP,IT
currying,IT
curse of dimensionality,IT
cursor,IT
curtain wall,Architecture
Curve25519,IT
customer journey map,IT
customer relationship management,IT
cut,IT
cut and fill,Architecture
cut line,Architecture
cut-off saw,Architecture
cut-resistant glove,Architecture
cyber-physical systems,IT
cyclomatic complexity,IT
cylinder test,Architecture
D orbit,Architecture
daemon,IT
daemon set,IT
daily report,Architecture
Damerau–Levenshtein distance,IT
damp proof course,Architecture
damp proof membrane,Architecture
damping,Architecture
data anonymization,IT
data binding,IT
data catalog,IT
data classification,IT
data dictionary,IT
data ethics,IT
data exfiltration,IT
data flow analysis,IT
data flow diagram,IT
data fragmentation,IT
data governance,IT
data hazard,IT
data integrity,IT
data lake,IT
data lifecycle management,IT
data lineage,IT
data link layer,IT
data locality,IT
data mart,IT
data masking,IT
data mining,IT
data model,IT
data parallelism,IT
data protection impact assessment,IT
data protection officer,IT
data quality,IT
data race,IT
data race detection,IT
data retention policy,IT
data stewardship,IT
data warehouse,IT
database,IT
database systems,IT
Datalog,IT
date,IT
DATE_PART,IT
DATE_TRUNC,IT
datum,Architecture
dbt,IT
DCL,IT
DCS,IT
DDL,IT
DDoS mitigation,IT
DDR3,IT
DDR4,IT
DDR5,IT
dead load,Architecture
dead-letter queue,IT
deadline miss,IT
deadline scheduler,IT
deadlock,IT
deadlock detection,IT
deadlock prevention,IT
debugging,IT
decimal,IT
decision tree,IT
declination,Architecture
decorator pattern,IT
deduplication,IT
deep mixing,Architecture
deep packet inspection,IT
DEFAULT,IT
defect density,IT
defect discovery rate,IT
defect triage,IT
defects liability,Architecture
defense in depth,IT
deflate,IT
deflection,Architecture
degree of saturation,Architecture
Dekker’s algorithm,IT
DELETE,IT
delivery,IT
delivery hose,Architecture
delta debugging,IT
delta lake,IT
delta parameter,IT
deluge system,Architecture
demand paging,IT
denormalization,IT
denotational semantics,IT
DEP bypass,IT
dependency graph,IT
dependency injection,IT
dependency inversion,IT
dependency inversion principle,IT
dependency preservation,IT
dependent typing,IT
deployment,IT
deployment diagram,IT
depth-first search,IT
deque,IT
DER encoding,IT
description logic,IT
deserialization vulnerability,IT
design pattern,IT
destructor,IT
detail callout,Architecture
detail drawing,Architecture
development length,Architecture
device driver,IT
device interface,IT
device posture,IT
devirtualization,IT
DevOps,IT
dewatering,Architecture
df,IT
DFS,IT
DHCP,IT
diagonal brace,Architecture
dictionary attack,IT
differential backup,IT
differential privacy,IT
differential settlement,Architecture
Diffie–Hellman,IT
DiffServ,IT
diffuser,Architecture
dig,IT
digital circuit,IT
digital elevation model,Architecture
digital level,Architecture
digital logic,IT
digital signature,IT
digital terrain model,Architecture
digital transformation,IT
Dijkstra’s algorithm,IT
Dilithium,IT
dimension line,Architecture
dimension string,Architecture
dimension table,IT
Dinic’s algorithm,IT
direct memory access,IT
direct shear test,Architecture
directory traversal,IT
directory-based coherence,IT
dirty read,IT
dirty write,IT
disaster recovery,IT
disaster recovery plan,IT
discrete cosine transform,IT
discrete mathematics,IT
discretionary access control,IT
disjoint set,IT
disk forensics,IT
dispatcher,IT
DISTINCT,IT
distributed consensus,IT
distributed system,IT
distributed systems,IT
distributed tracing,IT
distribution,IT
divide and conquer,IT
DKIM,IT
DMA controller,IT
DMARC,IT
DML,IT
DNP3,IT
DNS,IT
DNS tunneling,IT
DNSSEC,IT
Docker,IT
document management system,IT
document store,IT
domain event,IT
domain generation algorithm,IT
domain integrity,IT
domain model,IT
domain name,IT
domain relational calculus,IT
door closer,Architecture
door frame,Architecture
door hardware,Architecture
door leaf,Architecture
door schedule,Architecture
door stopper,Architecture
door tag,Architecture
double glazing,Architecture
double precision,IT
doubly linked list,IT
dowel bar,Architecture
doweling,Architecture
downlight,Architecture
drainage,Architecture
drawing index,Architecture
drawing number,Architecture
drawing scale,Architecture
drawings,Architecture
drill,Architecture
driven pile,Architecture
DROP,IT
drop panel,Architecture
dropout,IT
dropper,IT
drying shrinkage,Architecture
drywall,Architecture
DSCP,IT
DTLS,IT
du,IT
dual-core,IT
duck typing,IT
duct,Architecture
ductility,Architecture
dump truck,Architecture
dumpy level,Architecture
dup,IT
dup2,IT
durability,IT
dust mask,Architecture
dynamic analysis,IT
dynamic array,IT
dynamic compaction,Architecture
dynamic linking,IT
dynamic load,Architecture
dynamic programming,IT
ear protection,Architecture
earliest deadline first,IT
early stopping,IT
earmuff,Architecture
earplug,Architecture
earth pressure coefficient,Architecture
earth rod,Architecture
earthing,Architecture
earthing bar,Architecture
earthquake load,Architecture
earthwork quantity,Architecture
eastings,Architecture
EBNF,IT
ECC memory,IT
eccentric footing,Architecture
ECDSA,IT
ECMAScript 5,IT
ECMAScript 6,IT
ECMP,IT
ECN,IT
Ed25519,IT
EdDSA,IT
EDF,IT
edge computing,IT
edit distance,IT
EDM instrument,Architecture
Edmonds–Karp,IT
Edmonds–Karp algorithm,IT
EDNS0,IT
effect system,IT
effective stress,Architecture
effort estimation,IT
eigenvalue,IT
eigenvector,IT
EIGRP,IT
elastic net,IT
elasticity,Both
elastomeric bearing,Architecture
elbow,Architecture
electrical plan,Architecture
electrical system,Architecture
electronic distance measurement,Architecture
elevation,Architecture
elevation mark,Architecture
elevator shaft,Architecture
ElGamal,IT
elicitation,IT
Elixir,IT
ELK stack,IT
ellipsoidal height,Architecture
elliptic-curve cryptography,IT
ELSE,IT
ELT,IT
embedded plate,Architecture
embedded system,IT
embedded systems,IT
emergency light,Architecture
emergency power,Architecture
employer,Architecture
enamel paint,Architecture
encapsulation,IT
END,IT
endianness,IT
engineer,Architecture
engineered fill,Architecture
engineering surveying,Architecture
ENISA guideline,IT
enterprise architecture,IT
enterprise resource planning,IT
enterprise risk management,IT
enterprise search,IT
entity integrity,IT
entity resolution,IT
entity–relationship diagram,IT
entity–relationship model,IT
entropy,IT
enum,IT
enumerable,IT
environmental load,Architecture
Envoy,IT
epidemic protocol,IT
epoll,IT
epoll_ctl,IT
epoll_wait,IT
epoxy coating,Architecture
epsilon-differential privacy,IT
equi-join,IT
equivalence partitioning,IT
eradication,IT
erasure coding,IT
ergodicity,IT
Erlang,IT
error budget,IT
error budget burn,IT
error correcting code,IT
error of closure,Architecture
error-correcting code,IT
errors,IT
escape analysis,IT
ESP,IT
ETag,IT
etcd,IT
Ethernet,IT
EtherNet/IP,IT
ETL,IT
Eulerian path,IT
evasion technique,IT
event ordering,IT
event sourcing,IT
event-driven architecture,IT
eventual consistency,IT
evidence preservation,IT
EVPN,IT
exactly-once semantics,IT
excavator,Architecture
EXCEPT,IT
exception,IT
exchange property,IT
exclusive cache,IT
exclusive lock,IT
exec,IT
execution plan,IT
execve,IT
exFAT,IT
EXISTS,IT
exit,IT
exit sign,Architecture
EXP,IT
expanded polystyrene,Architecture
expansion joint,Architecture
expansion joint device,Architecture
expansion loop,Architecture
expansive agent,Architecture
expectation,IT
Expectation Failed,IT
expectation–maximization,IT
Expires,IT
explicit congestion notification,IT
exploded view,Architecture
exploit,IT
exploit chain,IT
exploitation,IT
exponential backoff,IT
exponential mechanism,IT
export,IT
exposed aggregate,Architecture
EXPTIME,IT
ext4,IT
extend,Architecture
extension ladder,Architecture
extension line,Architecture
external reference,Architecture
external vibrator,Architecture
EXTRACT,IT
extruded polystyrene,Architecture
F#,IT
F1 score,IT
F2FS,IT
FaaS,IT
facade pattern,IT
face shield,Architecture
facility management,Architecture
fact table,IT
factor of safety,Architecture
factory pattern,IT
fail-stop,IT
failback,IT
Failed Dependency,IT
failover,IT
failure detector,IT
failure detector accuracy,IT
failure detector completeness,IT
failure suspicion,IT
fair scheduler,IT
false negative,IT
false positive,IT
falsework,Architecture
fan coil unit,Architecture
Fano inequality,IT
fast flux,IT
fast recovery,IT
fast retransmit,IT
FAT32,IT
fatigue,Architecture
fault injection,IT
fault tolerance,IT
fault tolerance testing,IT
fchmod,IT
fchown,IT
fdatasync,IT
feasibility study,IT
feature flag,IT
feature toggle,IT
federated identity,IT
feedback,IT
Fenwick tree,IT
fetch–decode–execute,IT
fg,IT
Fiat–Shamir transform,IT
Fibonacci heap,IT
field book,Architecture
field notes,Architecture
fifth normal form,IT
file descriptor,IT
file metadata,IT
file system,IT
filesystems,IT
fill material,Architecture
fillet,Architecture
filter,Architecture
final account,Architecture
find,IT
fine aggregate,Architecture
fine-grained soil,Architecture
finishes schedule,Architecture
finishing,Architecture
finite automaton,IT
finite field,IT
finite state machine,IT
FIPS 140-3,IT
fire alarm,Architecture
fire alarm panel,Architecture
fire damper,Architecture
fire door,Architecture
fire hydrant,Architecture
fire protection,Architecture
fire protection plan,Architecture
fire pump,Architecture
fireproof coating,Architecture
firewall,IT
firmware,IT
firmware update,IT
first normal form,IT
fishbone diagram,IT
fitting,Architecture
Fitts’s law,IT
five whys,IT
fixed-end beam,Architecture
flagman,Architecture
flange,Architecture
flat slab,Architecture
FlatBuffers,IT
flexible duct,Architecture
flexural strength,Architecture
Flink,IT
float,Architecture
float valve,Architecture
floating point,IT
floating-point precision,IT
floating-point unit,IT
FLOOR,IT
floor drain,Architecture
floor plan,Architecture
floor tile,Architecture
flooring,Architecture
flow control,IT
flow control (systems),IT
flow net,Architecture
flow table,Architecture
Floyd–Warshall algorithm,IT
FLP impossibility,IT
flush door,Architecture
flyweight pattern,IT
fog computing,IT
footing detail,Architecture
footing layout,Architecture
footing schedule,Architecture
footings,Architecture
Forbidden,IT
force/no-force,IT
Ford–Fulkerson,IT
foreign key,IT
foreman,Architecture
forensic analysis,IT
foresight,Architecture
fork,IT
fork–join model,IT
form liner,Architecture
form oil,Architecture
form pressure,Architecture
form release agent,Architecture
form tie,Architecture
formal methods,IT
formal verification,IT
format string vulnerability,IT
formwork,Architecture
formwork backfilling,Architecture
formwork compacting,Architecture
formwork curing,Architecture
formwork placing,Architecture
formwork pouring,Architecture
formwork stripping,Architecture
formwork table,Architecture
Fortran,IT
forward chaining,IT
forward secrecy,IT
Found,IT
foundation detail,Architecture
foundation layout,Architecture
foundation plan,Architecture
foundation schedule,Architecture
foundations,Architecture
fountain code,IT
Fourier series,IT
Fourier transform,IT
fourth normal form,IT
fragmentation overlap,IT
frame,Architecture
frame buffer,IT
Frame Relay,IT
frame scaffold,Architecture
frames,Architecture
framework,IT
free,IT
FROM,IT
fstat,IT
fsync,IT
FTP,IT
ftruncate,IT
full backup,IT
FULL OUTER JOIN,IT
full scale,Architecture
full-text index,IT
FUNCTION,IT
function point,IT
functional dependency,IT
functional requirement,IT
functor,IT
furniture layout,Architecture
fuzz testing,IT
fuzzer,IT
fuzzy checkpoint,IT
G,IT
G-Counter,IT
Galois counter mode,IT
gantry,Architecture
gantry crane,Architecture
Gantt chart,IT
gap analysis,IT
gap lock,IT
gap-graded soil,Architecture
garage door,Architecture
garbage collection,IT
garbage collector,IT
garbage collectors,IT
gas cutting,Architecture
gate valve,Architecture
Gateway Timeout,IT
Gaussian mechanism,IT
Gaussian mixture model,IT
GDDR6,IT
GDPR,IT
general arrangement drawing,Architecture
general notes,Architecture
generational collection,IT
generational collector,IT
generator,Architecture
generator set,Architecture
generics,IT
genetic algorithm,IT
geodetic survey,Architecture
geofencing,IT
geoid,Architecture
geotechnical investigation,Architecture
GET,IT
getegid,IT
geteuid,IT
getgid,IT
getpid,IT
getppid,IT
getsockopt,IT
getuid,IT
GIN,IT
GIN index,IT
girder,Architecture
GiST,IT
GiST index,IT
GitHub Actions,IT
GitLab CI,IT
glass fiber,Architecture
glass tile,Architecture
glass wool,Architecture
global value numbering,IT
globe valve,Architecture
GNSS calibration,Architecture
GNSS setup,Architecture
GNSS survey,Architecture
GNSS surveying,Architecture
Go,IT
goggles,Architecture
golden file,IT
golden signals,IT
GOMS model,IT
Gone,IT
gossip dissemination,IT
gossip protocol,IT
Gouraud shading,IT
governance,IT
governance board,IT
GPS calibration,Architecture
GPS setup,Architecture
GPS survey,Architecture
GPS surveying,Architecture
GPU acceleration,IT
graceful degradation,IT
graceful degradation (pattern),IT
graceful shutdown,IT
gradation,Architecture
grade rod,Architecture
grade stake,Architecture
grader,Architecture
