Word,Chinese,Definition,Synonyms,Usage,Reference
absorbed,"adj.全神贯注的,一心一意的",,,has to be absorbed through the lungs.,Batman Begins 2005
absorbent,*dynamite n.硝化甘油炸藥；effective adj.有效的,,,,
absorbing,,,,,
absorption,n.吸收,,,and they're reread after absorption,Minority Report 2002
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",,,"Julian's a painter. Abstract, of course.",The Aviator 2004-English
abstraction,n.提取,,,"Some kind of abstraction,",American Psycho-English
absurd,"adj.荒谬的,可笑的",,,This is absurd. It's just a dog.,Finding Neverland 2004-English
absurdism,n.荒诞主义,,,a certain level of absurdism,Pirates of the Caribbean The Curse of the Black Pearl 2003
abundance,"n.丰富,充裕,丰富充裕",,,"One thing in abundance on this farm,",Cold Mountain-English
abundant,"adj.丰富的,充裕的,丰富,盛产,富于",,,as abundant as the sun.,The Matrix 1999
abundantly,adv.丰富地,,,since you made it so abundantly clear...,american beauty-English
abuse,*downwards adv.向下的；*dumb adj.啞的；愚笨的,,,we shall abuse the company.,Vanity Fair 2004
abusive,"adj.辱骂的,滥用的",,,"- ♪ You stupid, sadistic, abusive, fucking... ♪",Dawn of the Dead 2004-English
abutment,"n.邻接,桥礅",,,abutment in Santa Fe.,The Interpreter 2005-English
abuzz,"adj.嗡嗡的,嘁嘁喳喳的,活泼的",,,The diplomatic community is abuzz.,The Last Samurai 2003
abyss,n.深渊,,,"who tipped me into the abyss,",Vanity Fair 2004
abyssalpelagic,adj.(=abyssopelagic)深海水域的,,,abyssalpelagic,Finding Nemo 2003
ac,"Alternating Current,交流电;Armored Car,装甲车 交流(电);n.[化] 锕 `eIsi:`di:si:/交直流两用",,,and AC-130 Spectre gunships...,Black Hawk Down 2001
academic,"adj.学院的,理论的",,,but in their ordinary academic work.,Billy Elliot 2000
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院",,,our paper to Academy.,Spider Man 2 2004 Extended
acceded,"caused by a parasite that invades the red blood cells. The
parasite is transmitted by mosquitoes in tropical regions.
male adj./n.男性的；雄的 male children.
intending or intended to do harm. the transmission；master v.精通",,,,
accelerate,"v.加速,促进",,,so you must accelerate,The Legend of Speed 1999-en
accelerated,adj.加速的,,,accelerated child.,Almost Famous-English
acceleration,,,,,
accelerator,"n.加速者,加速器",,,accelerator from now on,The Legend of Speed 1999-en
accent,"n.重音,口音,重音符",,,- Some guy with a Russian accent.,Be Cool 2005-English
accept,"make the spontaneous sounds and movements of the face and
body. she couldn't help laughing at his jokes.
laughter n.笑the action or sound of laughing. he roared with laughter.
start or set in motion (an activity or enterprise).
she was launching a campaign against ugly architecture.
a room in a house, hotel, or institution where clothes and
laundry n.洗衣店 linens can be washed and ironed. next to the laundry.
the system of rules which a particular country or community.
they were taken to court for breaking the law.
conforming to, permitted by, or recognized by law or rules. it is an offense to carry a weapon in public without lawful authority.
a legislator. the game's official lawmakers are preparing the new legislation.
an area of short, mown grass in a yard, garden, or park.
she was sitting in a deckchair on the lawn.
*lawnmower n.除草機 a machine for cutting the grass on a lawn.
a claim or dispute brought to a court of law for adjudication.
*lawsuit n.訴訟 his lawyer filed a lawsuit against Los Angeles city.",,,Is it true you accept free Pan Am tickets,The Aviator 2004-English
acceptable,"adj.可接受的,合意的",,,This is not acceptable.,Tomb Raider 2001
acceptance,,,,,
accepted,delivery n.投遞；交貨  allow up to 28 days for delivery.,,,...the generally accepted theory that only,The Aviator 2004-English
accepting,,,,But accepting a mission,District B13 2004
access,"n.通路,访问,入门vt.存取,接近",,,to have full access to Falcone...,Batman Begins 2005
accessible,"adj.易接近的,可到达的,易受影响的,可理解的",,,accessible vault ever designed.,Oceans Eleven 2001
accessing,访问,,,Accessing schematic,Resident Evil 2002
accessories,n.[计] 附件,,,"and accessories inside the car,",Toy Story 2-English
accessory,"Direct Attack,直接攻击;Department of the Army,陆军部;n.爸爸,爹爹;desk accessory 桌面附件",,,,
accident,"*crumble v.(使)分解成小碎片；碎裂 break or fall apart into small
fragments；*damages n.損害賠償",,,It was an accident.,Spider Man 2 2004 Extended
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面",,,Her accidental shotgun blast,Magnolia-English
accidentally,"adv.偶然地,意外地",,,triggered accidentally...,District B13 2004
acclaim,,,,,
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应",,,can accommodate such a rarity...,Kingdom of Heaven 2005
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",,,accommodation?,Reign of Fire 2002-English
accommodations,"so. we are standing on a historic site.
of or concerning history.
歷史的’the historical background to such studies.
the study of past events, particularly in human affairs.",,,,
accompanied,"fragrance n.芬芳 a pleasant, sweet smell.
the fragrance of fresh-ground coffee.
frame n./v.架構  place (a picture or photograph) in a frame.
he had the photo framed.",,,He'll be accompanied by Simon Cosgrove,About a Boy 2002-English
accompanist,n.伴奏者,,,- My accompanist left!,About a Boy 2002-English
accompany,earn v.賺取；贏得 they earn $35 per hour.；either adj./pron.(兩者之中)任一,,,who will accompany her,Vanity Fair 2004
accomplice,"n.同谋者,帮凶",,,an accomplice.,Lost in Translation-English
accomplish,"vt.完成,达到,实现",,,I believe in what it tries to accomplish.,The Interpreter 2005-English
accomplished,"adj.完成的,熟练的,多才多艺的",,,from you. Mission accomplished.,Mr and Mrs Smith 2005
accomplishing,"skin. a severe case of the measles.
measure(ment) v./n.測量the amount of water collected is measured in
the flesh of an animal (especially a mammal) as food. pieces of meat.
mechanical adj.機械的working or produced by machines or machinery.",,,,
accomplishment,"caused by a parasite that invades the red blood cells. The
parasite is transmitted by mosquitoes in tropical regions.
male adj./n.男性的；雄的 male children.
intending or intended to do harm. the transmission；master v.精通",,,But the accomplishment,Pirates of the Caribbean The Curse of the Black Pearl 2003
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",,,"to nurturing this hard-earned accord,",Hotel Rwanda 2004-English
accordance,"n.一致,和谐",,,"In accordance with Qin law,",Hero 2002 CHINESE
according,adv.依照,,,"According to your tabulations,",Spider Man 2 2004 Extended
accordingly,"adv.因此,从而",,,So behave accordingly.,Spider Man - Trilogy 2002
accordion,n.手风琴adj.可折叠的,,,a bleeding accordion,Frida [2002]
account,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上",,,account. I want them alive.,Spider Man 2 2004 Extended
accountability,"n.有责任,有义务,可说明性",,,- It's called accountability.,Erin Brockovich 2000
accountable,,,,,
accountant,"n.会计(员),会计师",,,know your accountant?,Hitch 2005
accounting,"n.会计学,清算帐目",,,"Accounting, business...",Hitch 2005
accounts,"帐目,帐号",,,"bank accounts, and...",District B13 2004
accoutrement,"n.(=accouterment)穿着,配备",,,"and, you know, all the accoutrement.",The 40 Year Old Virgin 2005
accumulate,*gleam n.一絲光線；gather v.收集；聚集,,,,
accumulation,"electronic adj.電子的 electronics n 電子學 elegant adj.優雅的；put (food) into the mouth and chew and swallow it. he was eating a hot dog.
*eccentric adj./n.古怪的(人) unconventional and slightly strange.
my favorite aunt is very eccentric.
*echo n.回聲；回響 the walls threw back the echoes of his footsteps.",,,,
accumulator,,,,,
accuracy,"n.精确性,正确度",,,Much will depend on your accuracy.,Master and Commander The Far Side of the World-English
accurate,*emission n.排放 the effects of lead emission on health.；*ensure v.確保,,,that's actually historically accurate.,Pirates of the Caribbean The Curse of the Black Pearl 2003
accurately,"adv.正确地,精确地",,,"So now, I very accurately translate",The Last Samurai 2003
accusation,"n.谴责,[律]指控",,,in this accusation.,Hotel Rwanda 2004-English
accuse,"vt.控告,谴责,非难",,,They'll accuse you of raping.,Spider Man 2 2004 Extended
accused,"interview n./v.會見；面試a meeting of people face to face, especially
for consultation.",,,"Dr Zuwanie is accused of genocide,",The Interpreter 2005-English
accustom,,,,,
accustomed,"adj.通常的,习惯的,按照风俗习惯的",,,"Antipater, accustomed now to the power",Alexander 2004-English
ace,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allied Command Europe,欧洲盟军司令部",,,to the Triple Ace Club.,Sin City 2005-English
acetone,n.[化]丙酮,,,A nail polish remover where the acetone,Catch Me If You Can 2002
ache,,,,,
acheron,"n.[希神]黄泉,地狱,阴间",,,and the Acheron may be still looking for us.,Master and Commander The Far Side of the World-English
aches,,,,,
achieve,"vt.完成,达到",,,and want to achieve something...,Batman Begins 2005
achieved,,,,for their crimes. We've achieved that.,Alexander 2004-English
achievement,"n.成就,功绩",,,"Now, that's quite an achievement.",Collateral 2004
achievements,"*different adj.不同的
*differential n.差別；in spite of.
he remains a great leader despite age and infirmity.
dessert n.甜點；餐後點心  a dessert of chocolate mousse",,,through our achievements,Be Cool 2005-English
achieving,,,,So close to achieving its goal.,The Lord of the Rings The Two Towers 2002 EXTENDED
achilles,n.[希神]阿基里斯,,,Achilles!,Troy 2004
aching,"adj.痛的,疼痛的,心痛的",,,And she's been aching,Sin City 2005-English
acid,"employer n.雇主  boss
empty adj./v.空的 vacant; containing nothing
the room was empty of furniture.
enable v.使能夠 the evidence would enable us to arrive at firm conclusions.
fill (someone) with great delight; charm. Isabel was enchanted with the idea.
enclose v.圍住surround or close off on all sides. the entire estate was enclosed with；envious adj.嫉妒的",,,and you can test battery acid,The Constant Gardener 2005-English
acidic,"or electric bulb. a paper lantern.
the flat area between the waist and knees of a seated person. come and sit on my lap.
of considerable or relatively great size, extent, or capacity.
add a large clove of garlic.
to a great extent; on the whole; mostly. he was soon
arrested, largely through the efforts of Tom Poole. a device that generates an intense beam of coherent monochromatic light.
coming after all others in time or order;
final. they caught the last bus.
(of a process, activity, or state of things) continue for a specified period of time. the guitar solo lasted for twenty minutes.
doing something or taking place after the expected,
proper, or usual time. his late arrival.
recently; not long ago.
she hasn't been looking too well lately.
latest adj.最近；最新  of most recent date.
the angular distance of a place north or south of the earth's equator. at a latitude of 51° N.",,,,
acknowledge,"vt.承认,答谢,报偿",,,He wants to acknowledge your,Spider Man 2 2004 Extended
acknowledged,adj.公认的,,,"when he acknowledged, was she doing it",Pirates of the Caribbean The Curse of the Black Pearl 2003
acknowledgment,"n.承认,承认书,感谢",,,"of acknowledgment, I guess.",The Exorcism of Emily Rose
aclu,"American Civil Liberties Union,美国公民自由协会",,,"Look, I'm not with the ACLU",Minority Report 2002
acme,"n.顶点,极致",,,acme of foolishness...,"O Brother, Where Art Thou -English"
acorn,"n.[植]橡树果,橡子",,,Creatures I had known from nut and acorn.,The Lord of the Rings The Two Towers 2002 EXTENDED
acoustic,"adj.有关声音的,声学的,音响学的",,,(PLAYING ACOUSTIC UKULELE),Lilo and Stitch 2002
acquaintance,"n.相识,熟人",,,ofhis lordship's acquaintance.,Vanity Fair 2004
acquainted,"adj.有知识的,知晓的",,,"acquainted, Four years ago,",Kill Bill Vol 1 2003
acquiesce,"vi.默许,勉强同意",,,to acquiesce to his request.,Pirates of the Caribbean The Curse of the Black Pearl 2003
acquire,"caused by a parasite that invades the red blood cells. The
parasite is transmitted by mosquitoes in tropical regions.
male adj./n.男性的；雄的 male children.
intending or intended to do harm. the transmission；master v.精通",,,which one state can acquire,The Interpreter 2005-English
acquired,"adj.已获得的,已成习惯的,后天通过自己的努力得到的",,,for his goddess has acquired,Vanity Fair 2004
acquisition,,,,,
acquittal,n.宣判无罪,,,we'll get an acquittal.,The Exorcism of Emily Rose
acre,"n.英亩,(pl.)地产,大片田地",,,but Acre...,Kingdom of Heaven 2005
acreage,,,,,
acres,,,,you have a thousand acres...,Kingdom of Heaven 2005
acrobatic,"adj.杂技的,特技的",,,20 acrobatic tricks in a row.,Chicago 2002-English
across,"employer n.雇主  boss
empty adj./v.空的 vacant; containing nothing
the room was empty of furniture.
enable v.使能夠 the evidence would enable us to arrive at firm conclusions.
fill (someone) with great delight; charm. Isabel was enchanted with the idea.
enclose v.圍住surround or close off on all sides. the entire estate was enclosed with；envious adj.嫉妒的",,,"across Europe. Your George. '""",Vanity Fair 2004
acrylic,,,,,
act,interact v.互動,,,It's a criminal act to present,Spider Man 2 2004 Extended
acted,*hierarchy n.階級組織 those lower down in the hierarchy.,,,and they just acted like I was crazy.,Sin City 2005-English
acth,,,,Her ACTH levels,Minority Report 2002
actin,n.肌动蛋白,,,Actin' all crazy.,The Machinist 2004
acting,"*hijack v.劫持 unlawfully seize (an aircraft, ship, or vehicle).
three armed men hijacked a white van.
a long walk.
a five-mile hike across rough terrain.
create difficulties for (someone or something).
various family deadlock were hindering communication.
a slight or indirect indication or suggestion.
he has given no hint of his views.
a projection of the pelvis and upper thigh bone on each side of
the body in human beings.",,,Stop acting.,The Aviator 2004-English
action,"an advisory, deliberative, or legislative body of people formally constituted and meeting regularly.
*councilman n.議員；cream n.奶油；乳脂
*create v.創造",,,never saw action either.,The Aviator 2004-English
actions,,,,but he's expected to argue that his actions,The Interpreter 2005-English
activated,adj.有活性的,,,COMPUTER: Weapons system activated.,Batman Begins 2005
activator,"n.[化]催化剂,触媒剂",,,activator. By mistake.,The Machinist 2004
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子",,,"All right, flight controls are active.",The Aviator 2004-English
activities,,,,Student Activities Committee.,Mean Girls 2004
activity,"力學；機械學 the branch of applied mathematics dealing
with motion and forces producing motion. a metal disk with an inscription or design, made to commemorate an event or awarded.
the main means of mass communication.
their demands were publicized by the media.
relating to the science of medicine, or to the treatment
of illness and injuries. a medical center.
a substance used for medical treatment.
certain medications can cause dizziness.
the science or practice of the diagnosis, treatment.
he made distinguished contributions to medicine.
*medieval adj.中世紀的relating to the Middle Ages.
the action or practice of meditating. a life of meditation.
medium n.中間；媒介an agency or means of doing something. using the
latest technology as a medium for job creation.
溫順的quiet, gentle, and easily imposed on. I used to call her Miss Mouse because she was so meek and mild.
come into the presence or company of (someone) by chance or
arrangement. a week later I met him in the street.
meeting n.會議 an assembly of people. the early-dismissal policy will be",,,"'If there is no activity where you live,",Dawn of the Dead 2004-English
actor,"n.男演员,行动者,参与者",,,Paid actor.,Mr and Mrs Smith 2005
actors,,,,keeping the actors on.,Finding Neverland 2004-English
actress,n.女演员,,,You're a good enough actress.,Vanity Fair 2004
acts,,,,can redeem himself by good acts?,The Constant Gardener 2005-English
actual,"adj.实际的,真实的,现行的,目前的",,,actual state of the patient?,Spider Man 2 2004 Extended
actualization,"n.实现,现实化",,,of my actualization as a man.,Being John Malkovich 1999
actually,"adv.实际上,事实上,竟然,居然,如今",,,you'd actually finish the damn thing?,The Aviator 2004-English
acute,"adj.敏锐的,[医]急性的,剧烈",,,An acute curvature of,Spider Man 2 2004 Extended
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)",,,Is just junk some ad.,The Constant Gardener 2005-English
ada,"n.艾达;Augusta Ada Byron,ADA编程语言",,,Saya akan tanya jika ada,Downfall 2004
adaboost,,,,,
adagio,adv.缓慢地adj.缓慢的;n.[音乐]柔板,,,"He's got Joey Adagio,",Million Dollar Baby 2004
adam,"n.亚当(<<圣经>>故事人物,所谓人类始祖)",,,the fact that Adam and Eve were,Spider Man 2 2004 Extended
adamant,adj.坚硬的,,,"This is Nenya, the ring of Adamant.",The Lord of the Rings The Fellowship of the Ring
adams,"*leg n.腿；having the same characteristics or qualities as; similar to. they were like brothers.
*likelihood n.可能性the state or fact of something's being likely;
young people who can see no likelihood of finding employment.",,,- Pleased to meet you. Loved Alice Adams.,The Aviator 2004-English
adapt,"vt.使适应,改编",,,"You can change, you can adapt.",Hitch 2005
adaptation,"n.适应,改编,改写本",,,Adaptation : Thomas Murat,From Hell 2001
adapter,,,,,
adapters,,,,,
adaptive,,,,,
add,"*dough n.生麵團；double.
*dual adj./n.由兩部分構成的 their dual role at work and home.
doubtful.
Alex looked dubious, but complied.",,,There's nothing to add,Vanity Fair 2004
added,"adj.更多的,附加的,额外的",,,"Mr. Hughes, however, has added 11",The Aviator 2004-English
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人",,,but an old ex-heroin addict,Love Actually-English
addicted,adj.沉溺于某种嗜好中的,,,I became addicted.,Fight Club 1999
addiction,"n.沉溺,上瘾",,,- It becomes an addiction.,Fight Club 1999
addictive,,,,,
adding,"vbl.加,增加",,,I'M JUST ADDING SOME COUNTERWEIGHT.,Constantine 2005
addition,"n.加,加起来,增加物,增加,加法",,,put the addition on the kitchen.,Mr and Mrs Smith 2005
additional,"adj.另外的,附加的,额外的",,,An additional 1.7 million.,The Aviator 2004-English
address,December n.十二月,,,are more difficult to address.,Kingdom of Heaven 2005
addressing,,,,while addressing me.,Kingdom of Heaven 2005
adequate,,,,Adequate work...,A Beautiful Mind 2001
adequately,,,,,
adi,,,,,
adieu,"int.n.再见,再会",,,Farewell! Adieu!,Big Fish 2003
adios,"int.再见,一路平安",,,"PERCY : Adios, chief.",The Green Mile 1999
adj,*consult v.與…商量；諮詢；*convertible adj.可轉換的,,,,
adjacent,"adj.邻近的,接近的",,,...adjacent to the parkway.,Mystic River 2003
adjoin,,,,,
adjoining,"adj.邻接的,隔壁的",,,is my adjoining office.,Ray 2004
adjudication,,,,,
adjust,"vt.调整,调节,校准,使适合",,,"Bourne, couldn't adjust. It all went sideways.",The Bourne Supremacy 2004
adjusted,adj.调整过的,,,"We had time, I'd get this adjusted.",The Lord of the Rings The Two Towers 2002 EXTENDED
adjustment,,,,,
administer,"v.管理,给予,执行",,,The girls administer,Sin City 2005-English
administering,,,,Administering,A Beautiful Mind 2001
administers,lazy adj.懶散的,,,,
administration,"/[)n/n.管理,经营,衅]网络管理",,,of my administration,The Interpreter 2005-English
administrative,*criminal adj/n.犯罪的；罪犯；county n.郡；縣,,,,
administrator,,,,,
admirable,"adj.令人倾佩的,值的赞美的,绝妙的,极好的",,,...that's not an admirable,Gangs of New York 2002
admirably,"adv.极好地,美好地",,,You've succeeded admirably.,american beauty-English
admiral,"n.海军上将,舰队司令,旗舰",,,Admiral Kimmel...,Pearl Harbor 2001
admiration,*general adj.一般的；普遍的books of general interest,,,,
admire,"v.赞美,钦佩,羡慕",,,And admire the new person inside.,The Constant Gardener 2005-English
admirer,"n.景慕者,赞赏者,敬慕者",,,I'm a great admirer of yours.,Being John Malkovich 1999
admiring,"adj.赞赏的,钦佩的",,,I was just admiring the process.,Guess Who 2005-English
admission,"n.允许进入,承认某事之陈述,供认",,,So by your admission,The Aviator 2004-English
admit,"v.容许,承认,接纳",,,though she's too proud to admit it.,Vanity Fair 2004
admitted,"adj.被承认的,被确认无疑的",,,"That was nothing, and I admitted it.",Guess Who 2005-English
admittedly,"adv.公认地,诚然,无可否认的",,,"Well, now, admittedly,",Enemy at the Gates 2001
admixture,,,,,
ado,"n.纷扰,忙乱;Advanced Development Objective,高级发展目标;ActiveX Data Objects,ActiveX数据对象",,,"So, without further ado...","O Brother, Where Art Thou -English"
adolescence,n.青春期(一般指成年以前由13至15的发育期),,,- You've robbed him of an adolescence.,Almost Famous-English
adolescent,,,,,
adolf,n.阿道夫(亦作Adolph) (m.),,,"Adakah awak, Tuan Fuhrer, Adolf Hitler...",Downfall 2004
adonis,"n.[希神,罗神]阿多尼斯(爱与美的女神Aphrodite所爱恋的美少年),美少年,小白脸",,,"you're right-handed, Adonis.",Black Hawk Down 2001
adopt,"vt.采用,收养",,,I think he wants to adopt you.,Spider Man - Trilogy 2002
adoptable,"adj.可采用的,可收养的",,,our dogs are adoptable.,Lilo and Stitch 2002
adopted,*logo n.(=logotype)標識,,,we adopted him!,Lilo and Stitch 2002
adoption,"n.采用,收养",,,or are you contemplating adoption?,How to Lose a Guy in 10 Days 2003
adorable,"adj.可崇拜的,可爱的",,,"For all I know, he's adorable.",Hitch 2005
adore,"v.崇拜,爱慕,(口语)喜爱",,,I adore imprudent matches.,Vanity Fair 2004
adrift,"adv.漂浮着,随波逐流地adj.漂泊的",,,"Thus far, you have been adrift in the",Lilo and Stitch 2002
adult,"n.成人,成年人adj.成人的,成熟的",,,like an adult who...,The Aviator 2004-English
adultery,"n.通奸,通奸行为",,,But this isn't adultery.,Kingdom of Heaven 2005
adulthood,n.成人期,,,directly into adulthood...,The Island 2005
adv,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)",,,,
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)",,,advance on my record.,Ray 2004
advanced,*determination n.決心；diligence n.勤勉 themselves or their cattle.,,,His airline has advanced the cause,The Aviator 2004-English
advancement,,,,,
advantage,"n.优势,有利条件,利益",,,The chief advantage,Vanity Fair 2004
advantageous,adj.有利的,,,Countries with advantageous,The Interpreter 2005-English
adventure,"n.冒险,冒险的经历v.冒险",,,You send Jamie on this adventure,Spider Man 2 2004 Extended
adventurer,n.冒险家,,,quite the little adventurer.,Finding Neverland 2004-English
adventuress,"n.用不正当手段谋求名利(或地位)的女人,女投机家,女冒险家",,,I had you down for an adventuress.,Vanity Fair 2004
adventurous,"adj.喜欢冒险的,敢做敢为的,充满危险的",,,adventurous and desperate.,How to Lose a Guy in 10 Days 2003
adversary,"n.敌手,对手",,,I respected him as an adversary.,Troy 2004
adverse,,,,,
advert,,,,,
advertise,"v.做广告,登广告",,,not to advertise,District B13 2004
advertisement,,,,,
advertising,"n.广告业,广告adj.广告的",,,"Yeah, mostly marketing, little advertising,",Hitch 2005
advice,"n.忠告,建议,[商]通知",,,"a little advice, huh?",The Aviator 2004-English
advise,"vt.劝告,忠告,警告,建议",,,I advise caution.,Spider Man 2 2004 Extended
advised,"adj.考虑过的,细想过的",,,you advised upon the road?,Kingdom of Heaven 2005
adviser,"the school takes a maximum of 32 students.
May n.五月the fifth month of the year, the last month of spring. the new model makes its showroom debut in May.
maybe adv.可能 the fifth month of the year, the last month of spring.
the new model makes its showroom debut in May.
mayor n.市長；鎮長the elected head of a city, town, or other municipality.",,,adviser. We need you for a few minutes.,The Interpreter 2005-English
advisor,"n.顾问,<美> (学生的)指导老师",,,and our historical advisor,Pirates of the Caribbean The Curse of the Black Pearl 2003
advisory,,,,,
advjpron,,,,,
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹",,,I'm a strong advocate.,Batman Begins 2005
adware,,,,,
aegean,"adj.爱琴海的n.爱琴海(地中海的一部分,在希腊同土耳其之间)",,,...I control the Aegean.,Troy 2004
aeneas,n.特洛伊战争中的勇士,,,- Aeneas.,Troy 2004
aerated,,,,,
aerating,,,,,
